sample,feature_extraction_time,knn_search_time,image_auroc,pixel_auroc,pca_dim,n_split
bottle,0.022886796431107956,0.606353369626132,1.0,0.9806179142005842,128,0.075
cable,0.01199005779467131,0.6668845477857088,0.9883808095952024,0.9636397295752913,128,0.075
capsule,0.012542107525993796,0.6426445736604578,0.9437574790586359,0.9698266446727759,128,0.075
carpet,0.013438940048217773,0.8371108690897624,0.9478330658105939,0.9791229465649147,128,0.075
grid,0.013872098922729493,0.8216668605804444,0.8395989974937343,0.9561904899759757,128,0.075
hazelnut,0.030526433672223772,1.3151591505323137,1.0,0.9859066124151394,128,0.075
leather,0.01899006962776184,0.8499531894922256,0.998641304347826,0.9941927268100932,128,0.075
metal_nut,0.014061053593953451,0.6793584823608398,0.9731182795698925,0.9559356734230926,128,0.075
pill,0.013022377377464658,0.8817126523880732,0.9018003273322422,0.8986429929390232,128,0.075
screw,0.01381666660308838,1.1502761363983154,0.8561180569788891,0.9846788468263521,128,0.075
tile,0.013855616251627604,0.7580934683481853,0.9458874458874459,0.8575494728490647,128,0.075
toothbrush,0.015186945597330729,0.2123638391494751,0.9555555555555555,0.9844565436392396,128,0.075
transistor,0.016120085349449746,0.9376976673419659,0.9133333333333333,0.854563757948837,128,0.075
wood,0.025475478172302245,0.9612897634506226,0.9710526315789474,0.9184777659847273,128,0.075
zipper,0.01565166523582057,1.0052382946014404,0.9818802521008403,0.9675462011472022,128,0.075
